brojPredmeta;kazna_zatvora_mjeseci;kazna_zatvora_dani;novcana_kazna_eur;rad_javni_interes_casovi;uslovna;rok_provjere_godine;troskovi_eur;kazna_text
K 108/2015;4;45;0.0;0;True;1;50.0;4 mjeseci zatvora, 45 dana zatvora, uslovno 1 god.
K 17/2013;4;0;0.0;0;True;2;0.0;4 mjeseci zatvora, uslovno 2 god.
K 186/2011;3;0;400.0;0;True;1;0.0;3 mjeseci zatvora, novčana kazna 400 €, uslovno 1 god.
K 274/2023;0;0;0.0;0;False;0;0.0;Nema (oslobađajuća/odbijena)
K 501/2026;3;0;0.0;0;False;0;0.0;3 mjeseci zatvora
K 53/2018;4;40;0.0;180;True;2;30.0;4 mjeseci zatvora, 40 dana zatvora, rad u javnom interesu 180 č., uslovno 2 god.
K 65/2020;2;0;0.0;0;True;1;30.0;2 mjeseci zatvora, uslovno 1 god.
K 92/2021;5;0;0.0;0;True;2;30.0;5 mjeseci zatvora, uslovno 2 god.
K 120/2015;0;30;0.0;0;True;1;50.0;30 dana zatvora, uslovno 1 god.
K 147/2015;0;30;0.0;180;True;1;30.0;30 dana zatvora, rad u javnom interesu 180 č., uslovno 1 god.
K 211/2018;0;30;0.0;60;True;1;99.0;30 dana zatvora, rad u javnom interesu 60 č., uslovno 1 god.
K 244/2019;3;0;0.0;0;True;1;30.0;3 mjeseci zatvora, uslovno 1 god.
K 314/2017;3;0;0.0;0;True;1;30.0;3 mjeseci zatvora, uslovno 1 god.
K 333/2015;0;0;0.0;0;False;0;0.0;Nepoznat
K 345/2017;3;0;0.0;0;True;1;30.0;3 mjeseci zatvora, uslovno 1 god.
K 346/2013;2;0;0.0;0;True;1;50.0;2 mjeseci zatvora, uslovno 1 god.
K 349/2016;0;30;0.0;0;True;1;0.0;30 dana zatvora, uslovno 1 god.
K 381/2012;0;60;0.0;0;True;1;60.0;60 dana zatvora, uslovno 1 god.
K 420/2016;2;0;100.0;0;True;1;0.0;2 mjeseci zatvora, novčana kazna 100 €, uslovno 1 god.
K 421/2017;4;0;0.0;240;True;1;30.0;4 mjeseci zatvora, rad u javnom interesu 240 č., uslovno 1 god.
K 500/2026;6;0;0.0;0;False;0;0.0;6 mjeseci zatvora
K 505/2026;6;0;0.0;0;False;0;0.0;6 mjeseci zatvora
K 747/2022;3;0;0.0;0;True;2;30.0;3 mjeseci zatvora, uslovno 2 god.
K 80/2016;0;30;0.0;0;True;1;10.0;30 dana zatvora, uslovno 1 god.
